Jahr,Gemeinde_name,Gesamt,Raub,Straßenraub,Körperverletzung,schwere Körperverletzung,Freiheitsberaubung,Diebstahl,Other
2014,Mitte,91321,1014,521,6779,1736,2084,41934,37774
2014,Friedrichshain-Kreuzberg,62194,940,650,4766,1519,1212,28793,24964
2014,Pankow,39803,313,170,2587,635,951,22010,13307
2014,Charlottenburg-Wilmersdorf,53322,641,338,3840,907,1493,26829,19612
2014,Spandau,26499,344,195,2724,619,988,11390,10434
2014,Steglitz-Zehlendorf,25072,210,115,1575,303,789,13092,9103
2014,Tempelhof-Schöneberg,40184,496,306,3117,710,1255,19062,15544
2014,Neukölln,44978,580,320,3952,1047,1428,19689,18282
2014,Treptow-Köpenick,23250,209,132,1804,377,727,11867,8266
2014,Marzahn-Hellersdorf,24285,260,159,2982,545,911,9507,10080
2014,Lichtenberg,25618,236,141,2382,487,780,12407,9326
2014,Reinickendorf,29180,340,181,2682,636,1115,13375,11032
2015,Mitte,98046,1040,589,7107,1923,2078,46613,39285
2015,Friedrichshain-Kreuzberg,67357,1027,581,4727,1500,1106,32845,26152
2015,Pankow,44156,303,151,2667,619,952,26000,13615
2015,Charlottenburg-Wilmersdorf,56593,536,288,3805,880,1355,30622,19395
2015,Spandau,26747,269,142,2622,577,1074,11832,10373
2015,Steglitz-Zehlendorf,25128,180,98,1596,315,740,13437,8860
2015,Tempelhof-Schöneberg,41545,425,247,3119,709,1186,20377,15729
2015,Neukölln,47014,582,326,3762,1018,1367,21690,18595
2015,Treptow-Köpenick,24129,197,98,1864,437,730,11706,9195
2015,Marzahn-Hellersdorf,23245,222,121,2841,534,875,9624,9149
2015,Lichtenberg,25619,212,110,2351,502,645,12785,9124
2015,Reinickendorf,30801,325,163,2891,653,1152,13835,11945
2016,Mitte,106006,976,611,7446,1936,2047,49285,44316
2016,Friedrichshain-Kreuzberg,60354,947,574,4605,1453,1084,29984,22281
2016,Pankow,43058,316,163,2834,628,1035,23824,14421
2016,Charlottenburg-Wilmersdorf,55242,523,292,3919,865,1418,29432,19085
2016,Spandau,26444,265,155,2909,670,1052,12047,9501
2016,Steglitz-Zehlendorf,25537,162,88,1750,352,747,13972,8554
2016,Tempelhof-Schöneberg,40896,415,255,3286,696,1145,20586,14768
2016,Neukölln,45437,513,290,4026,1190,1411,22311,15986
2016,Treptow-Köpenick,23994,146,85,2152,470,718,12524,7984
2016,Marzahn-Hellersdorf,24338,235,140,3005,538,898,10394,9268
2016,Lichtenberg,28521,237,147,2686,552,829,14126,10091
2016,Reinickendorf,33207,311,162,2851,703,1173,13841,14328
2017,Mitte,96716,763,465,7856,2002,2221,41915,41959
2017,Friedrichshain-Kreuzberg,54849,608,374,4536,1589,1139,25208,21769
2017,Pankow,38750,303,154,3103,804,1013,19757,13770
2017,Charlottenburg-Wilmersdorf,53357,401,198,3967,921,1319,25950,20799
2017,Spandau,26240,256,138,2960,731,980,11303,10010
2017,Steglitz-Zehlendorf,23409,146,69,1674,335,796,11441,9017
